/home/gebruiker/.jdks/corretto-17.0.9/bin/java -Xss16m -javaagent:/home/gebruiker/idea-IC-231.9011.34/lib/idea_rt.jar=40187:/home/gebruiker/idea-IC-231.9011.34/bin -Dfile.encoding=UTF-8 -classpath /home/gebruiker/IdeaProjects/advent-of-code-2023_2/day18/target/classes org.example.Day18_part1
-131: delta=0, innerBlocks=0
-130: delta=5, innerBlocks=5
-129: delta=5, innerBlocks=10
-128: delta=5, innerBlocks=15
-127: delta=16, innerBlocks=31
-126: delta=16, innerBlocks=47
-125: delta=16, innerBlocks=63
-124: delta=18, innerBlocks=81
-123: delta=18, innerBlocks=99
-122: delta=22, innerBlocks=121
-121: delta=22, innerBlocks=143
-120: delta=30, innerBlocks=173
-119: delta=44, innerBlocks=217
-118: delta=46, innerBlocks=263
-117: delta=46, innerBlocks=309
-116: delta=46, innerBlocks=355
-115: delta=49, innerBlocks=404
-114: delta=49, innerBlocks=453
-113: delta=52, innerBlocks=505
-112: delta=61, innerBlocks=566
-111: delta=61, innerBlocks=627
-110: delta=71, innerBlocks=698
-109: delta=71, innerBlocks=769
-108: delta=71, innerBlocks=840
-107: delta=71, innerBlocks=911
-106: delta=69, innerBlocks=980
-105: delta=69, innerBlocks=1049
-104: delta=64, innerBlocks=1113
-103: delta=64, innerBlocks=1177
-102: delta=64, innerBlocks=1241
-101: delta=64, innerBlocks=1305
-100: delta=64, innerBlocks=1369
-99: delta=64, innerBlocks=1433
-98: delta=68, innerBlocks=1501
-97: delta=68, innerBlocks=1569
-96: delta=63, innerBlocks=1632
-95: delta=63, innerBlocks=1695
-94: delta=63, innerBlocks=1758
-93: delta=59, innerBlocks=1817
-92: delta=66, innerBlocks=1883
-91: delta=66, innerBlocks=1949
-90: delta=60, innerBlocks=2009
-89: delta=60, innerBlocks=2069
-88: delta=63, innerBlocks=2132
-87: delta=63, innerBlocks=2195
-86: delta=63, innerBlocks=2258
-85: delta=66, innerBlocks=2324
-84: delta=66, innerBlocks=2390
-83: delta=76, innerBlocks=2466
-82: delta=76, innerBlocks=2542
-81: delta=76, innerBlocks=2618
-80: delta=93, innerBlocks=2711
-79: delta=93, innerBlocks=2804
-78: delta=93, innerBlocks=2897
-77: delta=107, innerBlocks=3004
-76: delta=107, innerBlocks=3111
-75: delta=107, innerBlocks=3218
-74: delta=107, innerBlocks=3325
-73: delta=104, innerBlocks=3429
-72: delta=112, innerBlocks=3541
-71: delta=108, innerBlocks=3649
-70: delta=108, innerBlocks=3757
-69: delta=108, innerBlocks=3865
-68: delta=100, innerBlocks=3965
-67: delta=100, innerBlocks=4065
-66: delta=95, innerBlocks=4160
-65: delta=100, innerBlocks=4260
-64: delta=98, innerBlocks=4358
-63: delta=106, innerBlocks=4464
-62: delta=104, innerBlocks=4568
-61: delta=104, innerBlocks=4672
-60: delta=104, innerBlocks=4776
-59: delta=104, innerBlocks=4880
-58: delta=92, innerBlocks=4972
-57: delta=96, innerBlocks=5068
-56: delta=96, innerBlocks=5164
-55: delta=104, innerBlocks=5268
-54: delta=104, innerBlocks=5372
-53: delta=104, innerBlocks=5476
-52: delta=111, innerBlocks=5587
-51: delta=121, innerBlocks=5708
-50: delta=121, innerBlocks=5829
-49: delta=121, innerBlocks=5950
-48: delta=125, innerBlocks=6075
-47: delta=129, innerBlocks=6204
-46: delta=136, innerBlocks=6340
-45: delta=136, innerBlocks=6476
-44: delta=136, innerBlocks=6612
-43: delta=145, innerBlocks=6757
-42: delta=150, innerBlocks=6907
-41: delta=153, innerBlocks=7060
-40: delta=153, innerBlocks=7213
-39: delta=155, innerBlocks=7368
-38: delta=150, innerBlocks=7518
-37: delta=150, innerBlocks=7668
-36: delta=166, innerBlocks=7834
-35: delta=166, innerBlocks=8000
-34: delta=166, innerBlocks=8166
-33: delta=178, innerBlocks=8344
-32: delta=184, innerBlocks=8528
-31: delta=184, innerBlocks=8712
-30: delta=186, innerBlocks=8898
-29: delta=189, innerBlocks=9087
-28: delta=181, innerBlocks=9268
-27: delta=181, innerBlocks=9449
-26: delta=178, innerBlocks=9627
-25: delta=178, innerBlocks=9805
-24: delta=172, innerBlocks=9977
-23: delta=162, innerBlocks=10139
-22: delta=159, innerBlocks=10298
-21: delta=159, innerBlocks=10457
-20: delta=157, innerBlocks=10614
-19: delta=157, innerBlocks=10771
-18: delta=153, innerBlocks=10924
-17: delta=157, innerBlocks=11081
-16: delta=167, innerBlocks=11248
-15: delta=175, innerBlocks=11423
-14: delta=179, innerBlocks=11602
-13: delta=179, innerBlocks=11781
-12: delta=181, innerBlocks=11962
-11: delta=190, innerBlocks=12152
-10: delta=188, innerBlocks=12340
-9: delta=188, innerBlocks=12528
-8: delta=191, innerBlocks=12719
-7: delta=198, innerBlocks=12917
-6: delta=198, innerBlocks=13115
-5: delta=192, innerBlocks=13307
-4: delta=204, innerBlocks=13511
-3: delta=204, innerBlocks=13715
-2: delta=201, innerBlocks=13916
-1: delta=201, innerBlocks=14117
0: delta=205, innerBlocks=14322
1: delta=205, innerBlocks=14527
2: delta=205, innerBlocks=14732
3: delta=205, innerBlocks=14937
4: delta=205, innerBlocks=15142
5: delta=205, innerBlocks=15347
6: delta=200, innerBlocks=15547
7: delta=200, innerBlocks=15747
8: delta=200, innerBlocks=15947
9: delta=200, innerBlocks=16147
10: delta=200, innerBlocks=16347
11: delta=200, innerBlocks=16547
12: delta=197, innerBlocks=16744
13: delta=192, innerBlocks=16936
14: delta=186, innerBlocks=17122
15: delta=186, innerBlocks=17308
16: delta=186, innerBlocks=17494
17: delta=186, innerBlocks=17680
18: delta=184, innerBlocks=17864
19: delta=184, innerBlocks=18048
20: delta=184, innerBlocks=18232
21: delta=177, innerBlocks=18409
22: delta=177, innerBlocks=18586
23: delta=177, innerBlocks=18763
24: delta=169, innerBlocks=18932
25: delta=162, innerBlocks=19094
26: delta=162, innerBlocks=19256
27: delta=162, innerBlocks=19418
28: delta=157, innerBlocks=19575
29: delta=157, innerBlocks=19732
30: delta=157, innerBlocks=19889
31: delta=157, innerBlocks=20046
32: delta=155, innerBlocks=20201
33: delta=149, innerBlocks=20350
34: delta=149, innerBlocks=20499
35: delta=147, innerBlocks=20646
36: delta=143, innerBlocks=20789
37: delta=134, innerBlocks=20923
38: delta=134, innerBlocks=21057
39: delta=134, innerBlocks=21191
40: delta=134, innerBlocks=21325
41: delta=131, innerBlocks=21456
42: delta=124, innerBlocks=21580
43: delta=124, innerBlocks=21704
44: delta=122, innerBlocks=21826
45: delta=122, innerBlocks=21948
46: delta=122, innerBlocks=22070
47: delta=122, innerBlocks=22192
48: delta=122, innerBlocks=22314
49: delta=122, innerBlocks=22436
50: delta=119, innerBlocks=22555
51: delta=114, innerBlocks=22669
52: delta=114, innerBlocks=22783
53: delta=120, innerBlocks=22903
54: delta=120, innerBlocks=23023
55: delta=120, innerBlocks=23143
56: delta=120, innerBlocks=23263
57: delta=108, innerBlocks=23371
58: delta=108, innerBlocks=23479
59: delta=108, innerBlocks=23587
60: delta=104, innerBlocks=23691
61: delta=104, innerBlocks=23795
62: delta=97, innerBlocks=23892
63: delta=97, innerBlocks=23989
64: delta=97, innerBlocks=24086
65: delta=101, innerBlocks=24187
66: delta=101, innerBlocks=24288
67: delta=97, innerBlocks=24385
68: delta=97, innerBlocks=24482
69: delta=99, innerBlocks=24581
70: delta=93, innerBlocks=24674
71: delta=102, innerBlocks=24776
72: delta=102, innerBlocks=24878
73: delta=104, innerBlocks=24982
74: delta=104, innerBlocks=25086
75: delta=104, innerBlocks=25190
76: delta=108, innerBlocks=25298
77: delta=108, innerBlocks=25406
78: delta=108, innerBlocks=25514
79: delta=117, innerBlocks=25631
80: delta=125, innerBlocks=25756
81: delta=134, innerBlocks=25890
82: delta=134, innerBlocks=26024
83: delta=134, innerBlocks=26158
84: delta=143, innerBlocks=26301
85: delta=158, innerBlocks=26459
86: delta=168, innerBlocks=26627
87: delta=173, innerBlocks=26800
88: delta=173, innerBlocks=26973
89: delta=173, innerBlocks=27146
90: delta=173, innerBlocks=27319
91: delta=192, innerBlocks=27511
92: delta=187, innerBlocks=27698
93: delta=191, innerBlocks=27889
94: delta=194, innerBlocks=28083
95: delta=192, innerBlocks=28275
96: delta=190, innerBlocks=28465
97: delta=194, innerBlocks=28659
98: delta=196, innerBlocks=28855
99: delta=196, innerBlocks=29051
100: delta=196, innerBlocks=29247
101: delta=196, innerBlocks=29443
102: delta=192, innerBlocks=29635
103: delta=192, innerBlocks=29827
104: delta=201, innerBlocks=30028
105: delta=193, innerBlocks=30221
106: delta=190, innerBlocks=30411
107: delta=194, innerBlocks=30605
108: delta=194, innerBlocks=30799
109: delta=194, innerBlocks=30993
110: delta=191, innerBlocks=31184
111: delta=183, innerBlocks=31367
112: delta=183, innerBlocks=31550
113: delta=183, innerBlocks=31733
114: delta=179, innerBlocks=31912
115: delta=179, innerBlocks=32091
116: delta=167, innerBlocks=32258
117: delta=167, innerBlocks=32425
118: delta=167, innerBlocks=32592
119: delta=159, innerBlocks=32751
120: delta=159, innerBlocks=32910
121: delta=159, innerBlocks=33069
122: delta=148, innerBlocks=33217
123: delta=143, innerBlocks=33360
124: delta=140, innerBlocks=33500
125: delta=136, innerBlocks=33636
126: delta=136, innerBlocks=33772
127: delta=136, innerBlocks=33908
128: delta=136, innerBlocks=34044
129: delta=136, innerBlocks=34180
130: delta=132, innerBlocks=34312
131: delta=129, innerBlocks=34441
132: delta=120, innerBlocks=34561
133: delta=120, innerBlocks=34681
134: delta=127, innerBlocks=34808
135: delta=125, innerBlocks=34933
136: delta=117, innerBlocks=35050
137: delta=121, innerBlocks=35171
138: delta=121, innerBlocks=35292
139: delta=116, innerBlocks=35408
140: delta=122, innerBlocks=35530
141: delta=122, innerBlocks=35652
142: delta=122, innerBlocks=35774
143: delta=113, innerBlocks=35887
144: delta=113, innerBlocks=36000
145: delta=113, innerBlocks=36113
146: delta=113, innerBlocks=36226
147: delta=122, innerBlocks=36348
148: delta=119, innerBlocks=36467
149: delta=121, innerBlocks=36588
150: delta=115, innerBlocks=36703
151: delta=126, innerBlocks=36829
152: delta=126, innerBlocks=36955
153: delta=126, innerBlocks=37081
154: delta=126, innerBlocks=37207
155: delta=133, innerBlocks=37340
156: delta=136, innerBlocks=37476
157: delta=136, innerBlocks=37612
158: delta=132, innerBlocks=37744
159: delta=138, innerBlocks=37882
160: delta=138, innerBlocks=38020
161: delta=139, innerBlocks=38159
162: delta=139, innerBlocks=38298
163: delta=139, innerBlocks=38437
164: delta=139, innerBlocks=38576
165: delta=127, innerBlocks=38703
166: delta=127, innerBlocks=38830
167: delta=122, innerBlocks=38952
168: delta=122, innerBlocks=39074
169: delta=122, innerBlocks=39196
170: delta=127, innerBlocks=39323
171: delta=127, innerBlocks=39450
172: delta=127, innerBlocks=39577
173: delta=127, innerBlocks=39704
174: delta=127, innerBlocks=39831
175: delta=133, innerBlocks=39964
176: delta=133, innerBlocks=40097
177: delta=131, innerBlocks=40228
178: delta=140, innerBlocks=40368
179: delta=140, innerBlocks=40508
180: delta=140, innerBlocks=40648
181: delta=140, innerBlocks=40788
182: delta=134, innerBlocks=40922
183: delta=134, innerBlocks=41056
184: delta=131, innerBlocks=41187
185: delta=125, innerBlocks=41312
186: delta=119, innerBlocks=41431
187: delta=119, innerBlocks=41550
188: delta=122, innerBlocks=41672
189: delta=122, innerBlocks=41794
190: delta=115, innerBlocks=41909
191: delta=113, innerBlocks=42022
192: delta=107, innerBlocks=42129
193: delta=101, innerBlocks=42230
194: delta=101, innerBlocks=42331
195: delta=101, innerBlocks=42432
196: delta=101, innerBlocks=42533
197: delta=93, innerBlocks=42626
198: delta=93, innerBlocks=42719
199: delta=93, innerBlocks=42812
200: delta=81, innerBlocks=42893
201: delta=81, innerBlocks=42974
202: delta=81, innerBlocks=43055
203: delta=72, innerBlocks=43127
204: delta=72, innerBlocks=43199
205: delta=72, innerBlocks=43271
206: delta=66, innerBlocks=43337
207: delta=66, innerBlocks=43403
208: delta=66, innerBlocks=43469
209: delta=61, innerBlocks=43530
210: delta=61, innerBlocks=43591
211: delta=54, innerBlocks=43645
212: delta=54, innerBlocks=43699
213: delta=57, innerBlocks=43756
214: delta=50, innerBlocks=43806
215: delta=50, innerBlocks=43856
216: delta=55, innerBlocks=43911
217: delta=55, innerBlocks=43966
218: delta=48, innerBlocks=44014
219: delta=48, innerBlocks=44062
220: delta=48, innerBlocks=44110
221: delta=48, innerBlocks=44158
222: delta=69, innerBlocks=44227
223: delta=69, innerBlocks=44296
224: delta=69, innerBlocks=44365
225: delta=69, innerBlocks=44434
226: delta=76, innerBlocks=44510
227: delta=76, innerBlocks=44586
228: delta=81, innerBlocks=44667
229: delta=84, innerBlocks=44751
230: delta=92, innerBlocks=44843
231: delta=92, innerBlocks=44935
232: delta=98, innerBlocks=45033
233: delta=98, innerBlocks=45131
234: delta=104, innerBlocks=45235
235: delta=104, innerBlocks=45339
236: delta=115, innerBlocks=45454
237: delta=118, innerBlocks=45572
238: delta=118, innerBlocks=45690
239: delta=131, innerBlocks=45821
240: delta=131, innerBlocks=45952
241: delta=131, innerBlocks=46083
242: delta=131, innerBlocks=46214
243: delta=140, innerBlocks=46354
244: delta=136, innerBlocks=46490
245: delta=136, innerBlocks=46626
246: delta=124, innerBlocks=46750
247: delta=113, innerBlocks=46863
248: delta=113, innerBlocks=46976
249: delta=102, innerBlocks=47078
250: delta=102, innerBlocks=47180
251: delta=102, innerBlocks=47282
252: delta=104, innerBlocks=47386
253: delta=99, innerBlocks=47485
254: delta=99, innerBlocks=47584
255: delta=104, innerBlocks=47688
256: delta=104, innerBlocks=47792
257: delta=104, innerBlocks=47896
258: delta=113, innerBlocks=48009
259: delta=107, innerBlocks=48116
260: delta=110, innerBlocks=48226
261: delta=112, innerBlocks=48338
262: delta=105, innerBlocks=48443
263: delta=107, innerBlocks=48550
264: delta=104, innerBlocks=48654
265: delta=109, innerBlocks=48763
266: delta=99, innerBlocks=48862
267: delta=99, innerBlocks=48961
268: delta=96, innerBlocks=49057
269: delta=92, innerBlocks=49149
270: delta=87, innerBlocks=49236
271: delta=80, innerBlocks=49316
272: delta=75, innerBlocks=49391
273: delta=100, innerBlocks=49491
274: delta=100, innerBlocks=49591
275: delta=94, innerBlocks=49685
276: delta=92, innerBlocks=49777
277: delta=91, innerBlocks=49868
278: delta=85, innerBlocks=49953
279: delta=73, innerBlocks=50026
280: delta=67, innerBlocks=50093
281: delta=52, innerBlocks=50145
282: delta=52, innerBlocks=50197
283: delta=42, innerBlocks=50239
284: delta=38, innerBlocks=50277
285: delta=38, innerBlocks=50315
286: delta=26, innerBlocks=50341
287: delta=26, innerBlocks=50367
288: delta=21, innerBlocks=50388
289: delta=18, innerBlocks=50406
290: delta=18, innerBlocks=50424
291: delta=18, innerBlocks=50442
292: delta=13, innerBlocks=50455
293: delta=5, innerBlocks=50460
294: delta=5, innerBlocks=50465
295: delta=0, innerBlocks=50465
minx=-21, miny=-131, maxx=210, maxy=296
sum=50465

Process finished with exit code 0
